,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
5288,2021-04-05,14837.7,14849.85,14459.5,14637.8,33.08,4.19,0.97
5289,2021-04-06,14737.0,14779.1,14573.9,14683.5,33.18,4.2,0.96
5290,2021-04-07,14716.45,14879.8,14649.85,14819.05,33.49,4.24,0.95
5291,2021-04-08,14875.65,14984.15,14821.1,14873.8,33.61,4.25,0.96
5292,2021-04-09,14882.65,14918.45,14785.65,14834.85,33.53,4.24,0.97
5293,2021-04-12,14644.65,14652.5,14248.7,14310.8,32.34,4.09,1.00
5294,2021-04-13,14364.9,14528.9,14274.9,14504.8,32.72,4.15,0.99
5295,2021-04-15,14522.4,14597.55,14353.2,14581.45,32.78,4.17,0.98
5296,2021-04-16,14599.6,14697.7,14559.0,14617.85,32.84,4.18,0.98
5297,2021-04-19,14306.6,14382.3,14191.4,14359.45,32.12,4.11,1.00
5298,2021-04-20,14526.7,14526.95,14207.3,14296.4,31.97,4.09,1.00
5299,2021-04-22,14219.15,14424.75,14151.4,14406.15,32.22,4.12,0.99
5300,2021-04-23,14326.35,14461.15,14273.3,14341.35,32.07,4.11,1.00
5301,2021-04-26,14449.45,14557.5,14421.3,14485.0,32.39,4.15,0.99
5302,2021-04-27,14493.8,14667.55,14484.85,14653.05,32.28,4.2,0.98
5303,2021-04-28,14710.5,14890.25,14694.95,14864.55,32.72,4.26,0.96
5304,2021-04-29,14979.0,15044.35,14814.45,14894.9,32.79,4.26,0.99
5305,2021-04-30,14747.35,14855.45,14601.7,14631.1,32.21,4.19,1.00
5306,2021-05-03,14481.05,14673.85,14416.25,14634.15,31.54,4.19,1.00
5307,2021-05-04,14687.25,14723.4,14461.5,14496.5,30.47,4.15,1.01
5308,2021-05-05,14604.15,14637.9,14506.6,14617.85,30.65,4.19,1.00
5309,2021-05-06,14668.35,14743.9,14611.5,14724.8,30.82,4.22,1.00
5310,2021-05-07,14816.85,14863.05,14765.5,14823.15,30.23,4.24,0.99
5311,2021-05-10,14928.25,14966.9,14892.5,14942.35,30.43,4.28,0.98
5312,2021-05-11,14789.7,14900.0,14771.4,14850.75,30.14,4.25,0.99
5313,2021-05-12,14823.55,14824.05,14649.7,14696.5,29.83,4.21,1.00
5314,2021-05-14,14749.4,14749.65,14591.9,14677.8,29.79,4.2,1.00
5315,2021-05-17,14756.25,14938.0,14725.35,14923.15,30.2,4.27,0.98
5316,2021-05-18,15067.2,15137.25,15043.7,15108.1,30.53,4.33,0.97
5317,2021-05-19,15058.6,15133.4,15008.85,15030.15,29.98,4.3,0.98
5318,2021-05-20,15042.6,15069.8,14884.9,14906.05,29.59,4.27,0.99
5319,2021-05-21,14987.8,15190.0,14985.85,15175.3,29.48,4.34,0.97
5320,2021-05-24,15211.35,15256.25,15145.45,15197.7,29.52,4.35,0.97
5321,2021-05-25,15291.75,15293.85,15163.4,15208.45,29.25,4.35,1.00
5322,2021-05-26,15257.05,15319.9,15194.95,15301.45,29.41,4.38,0.99
